Job Title,Industry,Job Status,AI Impact Level,Median Salary (USD),Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation_Risk_Original,Location,Gender Diversity (%),Automation_Risk_New
Drilling engineer,Finance,Decreasing,Moderate,117168.13,Master’s Degree,19,1803,6270,14.21,64.99,UK,73.77,49.142490627152284
Economist,IT,Increasing,Low,85839.95,Master’s Degree,7,370,8428,16.21,20.95,USA,24.91,22.149777130618652
Electronics engineer,Entertainment,Decreasing,Moderate,41568.32,Associate Degree,7,1641,8446,9.91,20.58,India,48.74,62.09165372802571
Farm manager,Healthcare,Decreasing,Moderate,122482.55,Bachelor’s Degree,18,6336,9949,25.45,87.64,Australia,69.66,52.42140864182384
Location manager,Transportation,Increasing,Low,128987.36,High School,10,316,6617,43.49,87.46,UK,71.1,41.824343656509306
Amenity horticulturist,Education,Increasing,High,144279.99,High School,6,581,6806,16.19,11.67,Germany,71.64,61.925235201996585
Special educational needs teacher,Education,Increasing,Low,103008.1,Bachelor’s Degree,20,9655,8179,14.69,97.36,Brazil,23.19,25.63852684216643
Mental health nurse,Education,Decreasing,High,63364.07,PhD,8,9737,3603,51.88,81.05,Brazil,24.48,43.34528886730961
Hydrologist,Transportation,Increasing,Low,106420.71,Bachelor’s Degree,20,6636,6527,1.66,49.82,Canada,40.94,39.540272208625666
Bonds trader,Manufacturing,Increasing,Moderate,129374.84,Associate Degree,18,7815,9402,75.29,70.53,India,79.53,51.54657723308437
Product manager,Healthcare,Increasing,Low,123066.75,PhD,2,9481,4889,56.0,63.09,China,22.03,10.585237318511295
"Production assistant, television",Entertainment,Increasing,Low,109282.35,Associate Degree,3,994,1417,24.76,4.89,China,55.65,34.81062299574087
Minerals surveyor,Finance,Increasing,Moderate,49382.62,Bachelor’s Degree,1,3742,4073,79.82,91.02,India,38.2,29.76206773080342
"Engineer, chemical",Finance,Increasing,Moderate,66741.46,Master’s Degree,13,2992,3517,62.79,5.14,Canada,46.21,24.85995301739582
Environmental health practitioner,Healthcare,Increasing,Low,99117.62,High School,18,765,3065,85.55,40.52,Germany,77.9,25.308354286150156
Investment analyst,Entertainment,Increasing,Low,130282.87,Master’s Degree,14,3230,2863,37.1,84.85,Brazil,33.92,19.837009889857846
Media buyer,Healthcare,Increasing,High,104463.36,PhD,4,4375,6430,31.99,89.55,China,37.56,31.387780715282297
Aeronautical engineer,IT,Decreasing,Moderate,49214.16,PhD,8,419,6273,77.76,32.14,Canada,75.99,25.58053848326795
"Teacher, early years/pre",Healthcare,Decreasing,Low,123289.32,Master’s Degree,18,6949,1766,10.19,40.26,Germany,67.83,39.47508316760055
"Librarian, public",Entertainment,Increasing,Moderate,40138.82,High School,14,4461,3641,18.31,81.81,USA,53.25,52.24641936652184
"Scientist, product/process development",Healthcare,Increasing,Low,88443.27,PhD,16,121,8613,5.53,15.39,Germany,55.01,23.62498212056712
Civil Service fast streamer,Transportation,Increasing,Moderate,127590.49,Associate Degree,5,1028,2850,80.8,86.4,Australia,64.9,39.62129059111384
Hospital doctor,Retail,Increasing,Low,68766.22,Master’s Degree,4,2402,6663,72.03,98.8,China,29.92,20.676565508700726
Aid worker,IT,Increasing,High,65837.11,Bachelor’s Degree,3,9480,7096,96.22,20.69,Canada,23.03,28.921582237837764
Chartered accountant,Manufacturing,Increasing,Low,50235.18,Bachelor’s Degree,20,8311,9401,86.15,63.28,Australia,31.36,28.32454304420191
Chiropodist,Healthcare,Increasing,Low,85545.38,Master’s Degree,8,1744,2315,93.73,37.04,USA,31.73,13.918936705960597
Chief of Staff,Manufacturing,Decreasing,Moderate,98958.74,Bachelor’s Degree,17,7923,1834,98.04,67.52,USA,46.0,52.68112271764383
Environmental health practitioner,Healthcare,Increasing,High,142616.86,Bachelor’s Degree,8,8830,7825,0.06,37.76,Australia,63.4,51.43417163137987
"Scientist, biomedical",Retail,Decreasing,Low,125383.44,Associate Degree,0,618,8944,93.99,40.74,USA,61.43,45.56023940188646
"Designer, fashion/clothing",Healthcare,Decreasing,Low,113297.32,Associate Degree,8,9548,7281,82.78,79.61,USA,27.5,33.45822585006369
Information systems manager,Transportation,Increasing,High,113991.59,Associate Degree,12,7530,390,69.98,87.79,USA,71.88,55.467442297142604
Broadcast presenter,Finance,Increasing,Low,76181.86,High School,6,6281,7520,49.96,12.27,Brazil,20.76,39.11768023784887
Physiotherapist,Finance,Increasing,Low,54341.13,Associate Degree,17,6967,6939,69.48,10.07,Germany,44.41,31.372680171887595
Aid worker,Healthcare,Increasing,Moderate,77429.82,High School,19,3023,7599,42.83,81.12,UK,55.33,52.9767327148068
Oceanographer,Manufacturing,Increasing,High,70841.05,Bachelor’s Degree,11,4046,1708,37.3,7.09,Australia,33.01,58.36865612189054
Interior and spatial designer,IT,Increasing,Low,94442.2,Master’s Degree,12,7885,4787,92.82,8.66,USA,68.68,8.060631201670233
Clinical biochemist,Entertainment,Increasing,Moderate,68850.84,High School,9,9336,8675,35.99,17.15,Australia,69.08,50.421469615335134
"Engineer, manufacturing systems",Transportation,Decreasing,High,149781.35,PhD,8,331,9524,68.44,76.12,China,37.94,47.881641530818015
Charity officer,Education,Increasing,Moderate,77432.87,High School,3,152,5053,13.01,80.8,India,53.82,51.76476984284921
Tax inspector,Education,Decreasing,Low,144115.67,Bachelor’s Degree,3,5237,2017,96.21,85.85,Canada,49.69,16.834737498070822
"Journalist, newspaper",Education,Decreasing,Low,95081.03,Associate Degree,15,2526,5731,52.5,74.24,India,23.16,44.00619295292898
Commissioning editor,Retail,Increasing,High,47537.77,Bachelor’s Degree,6,4198,7195,2.01,70.85,India,65.91,58.42722310636123
IT sales professional,Healthcare,Increasing,Low,130970.36,High School,16,4177,5593,17.66,37.95,Australia,21.92,43.30951027141482
"Engineer, civil (consulting)",Healthcare,Increasing,Low,59210.07,PhD,12,3200,4919,32.7,71.96,Canada,64.95,11.323842414038698
Counselling psychologist,Healthcare,Increasing,Moderate,72058.61,PhD,2,7485,6442,87.66,37.7,Brazil,30.52,14.26883186141177
"Engineer, manufacturing systems",Finance,Increasing,Moderate,109356.55,Master’s Degree,10,9596,9947,93.72,32.66,China,75.6,22.224550697608663
Community pharmacist,Entertainment,Decreasing,Low,142963.7,High School,16,8857,5261,56.22,13.86,India,31.9,52.08289624709139
Automotive engineer,Healthcare,Decreasing,High,109415.32,PhD,1,8244,2582,3.67,70.81,USA,22.04,57.67140918985299
Acupuncturist,IT,Increasing,High,117834.71,PhD,6,6486,2155,75.96,65.79,Canada,47.88,27.974893634738482
"Teacher, music",Manufacturing,Decreasing,Low,145798.12,Bachelor’s Degree,4,2141,8092,15.59,41.89,Brazil,57.73,57.01270293834074
Electrical engineer,Education,Increasing,Moderate,57580.63,Associate Degree,4,2067,8768,71.18,66.32,UK,22.9,34.611078338688934
Theatre manager,Manufacturing,Increasing,High,44557.58,Bachelor’s Degree,7,8600,8451,49.05,83.13,Brazil,65.64,63.98666954408692
Sales promotion account executive,Finance,Decreasing,Low,34014.29,Bachelor’s Degree,4,9153,4251,72.94,70.21,India,48.75,35.052900030451056
Multimedia programmer,Entertainment,Increasing,Low,56135.47,Associate Degree,4,1229,7369,66.08,21.61,USA,23.48,30.470113382440445
Theatre manager,Entertainment,Increasing,High,91977.75,PhD,3,4837,6074,33.76,25.2,China,54.17,35.37475896341606
Health promotion specialist,Transportation,Increasing,Low,82613.9,Master’s Degree,19,8168,247,94.57,80.17,USA,78.47,12.178497096976775
Mechanical engineer,Healthcare,Decreasing,High,139546.53,Master’s Degree,2,8634,6057,20.93,36.43,India,23.45,58.66513382987822
Public relations officer,Healthcare,Decreasing,Moderate,114687.7,High School,17,1573,4576,39.34,59.74,USA,32.08,59.109048044606034
Television production assistant,Healthcare,Decreasing,High,116137.46,Master’s Degree,20,6994,7015,90.45,94.18,Canada,72.82,41.08138048180927
Surgeon,Transportation,Decreasing,High,53663.8,High School,17,4610,349,46.16,53.06,India,43.59,80.39151266296246
Clinical psychologist,Education,Decreasing,High,65559.22,Associate Degree,8,3836,7536,98.5,44.05,Australia,70.7,57.3193686751977
"Buyer, industrial",Entertainment,Decreasing,Low,97707.95,Associate Degree,19,3744,7692,80.78,8.84,India,33.25,36.77945808570248
Geochemist,Finance,Decreasing,Low,125897.7,Master’s Degree,14,2633,6432,9.43,12.37,Germany,51.42,43.507093091066125
"Designer, jewellery",Transportation,Decreasing,Moderate,112131.52,High School,0,224,8836,66.38,49.41,USA,28.07,64.68877265640145
Psychiatrist,Education,Increasing,Moderate,62451.48,Bachelor’s Degree,7,888,1424,56.65,60.73,USA,57.72,29.475183028616428
"Surveyor, land/geomatics",Entertainment,Increasing,Moderate,40789.83,Associate Degree,0,9761,5197,34.55,4.13,USA,41.54,49.181023904926306
Health and safety inspector,Finance,Decreasing,High,80088.65,PhD,1,2618,8552,42.17,85.67,China,32.31,55.78740963512193
Hydrogeologist,Transportation,Decreasing,Moderate,136572.76,Associate Degree,9,3166,1962,95.26,2.92,Canada,71.56,51.94218997799971
Professor Emeritus,Education,Decreasing,Low,97488.67,High School,15,6982,2981,64.6,50.43,Canada,78.54,44.1740341145793
Systems developer,Healthcare,Decreasing,High,41201.94,High School,10,4649,7882,14.39,51.91,Brazil,22.4,77.26081972221142
"Civil engineer, contracting",Education,Decreasing,Low,131949.79,Associate Degree,10,2686,5686,55.48,60.19,China,54.35,42.71284515588773
Psychotherapist,Education,Increasing,High,79089.3,PhD,15,7630,8829,34.24,73.65,Australia,31.35,37.6839739490167
Economist,Retail,Decreasing,Low,34690.02,Associate Degree,11,2224,4485,94.27,88.99,USA,75.8,37.646767145766184
Social worker,Transportation,Increasing,Low,48640.55,PhD,9,9839,2285,84.16,86.6,USA,42.18,8.202011494644069
Materials engineer,Education,Increasing,High,107480.14,Associate Degree,9,8209,9061,3.82,54.8,Brazil,42.87,62.76851019308199
Economist,Healthcare,Decreasing,Low,95776.98,PhD,9,9570,2719,67.1,83.0,USA,68.78,20.097361017814034
Ecologist,IT,Decreasing,Low,72609.75,High School,11,1667,1006,48.97,74.45,UK,72.09,51.65532239557108
"Surveyor, mining",Healthcare,Increasing,Low,112087.25,Master’s Degree,0,1719,9407,24.92,55.04,UK,33.86,17.575320632684548
"Engineer, maintenance (IT)",Entertainment,Decreasing,Moderate,139712.5,Master’s Degree,10,170,8989,39.05,82.25,USA,24.96,48.98571173078612
"Producer, television/film/video",Manufacturing,Decreasing,Low,77192.8,Bachelor’s Degree,5,8599,5317,6.09,89.44,Australia,68.48,62.34755001831176
Building surveyor,Transportation,Increasing,Low,62828.37,Bachelor’s Degree,6,4099,6401,79.93,71.86,USA,29.77,20.5840140444354
Radio broadcast assistant,Retail,Decreasing,High,51791.67,PhD,1,8219,8073,84.11,13.02,Brazil,23.01,54.585310251599985
Lexicographer,Entertainment,Increasing,Low,55760.02,Associate Degree,12,503,1346,67.15,96.86,Australia,75.13,22.595892787601077
"Research officer, political party",Education,Decreasing,High,59454.94,High School,19,6704,5261,0.23,8.69,India,56.43,78.11073591961087
Educational psychologist,Finance,Increasing,Moderate,42488.01,Associate Degree,5,402,6340,51.41,83.34,USA,53.99,42.628869793678966
Comptroller,IT,Decreasing,High,77281.53,Master’s Degree,5,2875,7619,18.72,2.01,Canada,60.24,58.7046210239396
"Lecturer, higher education",Manufacturing,Decreasing,High,137571.97,Master’s Degree,9,1122,3444,69.87,86.68,China,64.01,70.54543139795514
Probation officer,Finance,Decreasing,High,130153.62,Bachelor’s Degree,18,6479,5918,5.12,50.34,India,77.22,69.20812953765747
Science writer,Transportation,Decreasing,Moderate,113793.89,Master’s Degree,16,7508,2627,63.25,76.79,USA,26.47,46.562844091976594
"Sound technician, broadcasting/film/video",Manufacturing,Increasing,Moderate,107858.12,Associate Degree,4,1568,2277,45.49,8.58,Australia,29.3,58.30270623771
Exercise physiologist,Manufacturing,Decreasing,Moderate,38098.44,PhD,15,4561,9745,29.47,65.0,China,21.37,64.4864391392271
Charity fundraiser,Entertainment,Increasing,High,89396.08,PhD,13,1485,7901,21.66,27.42,UK,73.9,39.13266045840921
Volunteer coordinator,Manufacturing,Increasing,Low,64110.39,Bachelor’s Degree,8,4618,503,79.42,6.15,Australia,46.97,35.177075184300996
Sport and exercise psychologist,Transportation,Decreasing,Moderate,34634.36,High School,9,1445,8431,39.76,0.15,Canada,42.83,71.48975316647832
Careers information officer,IT,Increasing,Low,44616.29,Master’s Degree,0,8759,1961,21.95,78.18,USA,65.01,27.223708558286507
Illustrator,Entertainment,Decreasing,Moderate,109252.44,Master’s Degree,19,3532,2877,68.64,12.1,India,64.88,36.441119489011065
Animal nutritionist,Retail,Decreasing,Moderate,134551.61,PhD,9,2006,1499,63.25,22.5,India,48.14,46.40999739053066
Medical illustrator,Retail,Decreasing,Moderate,50387.37,High School,7,9588,3110,54.35,78.2,China,54.6,73.04849512960561
Marine scientist,Healthcare,Increasing,Low,62145.09,Bachelor’s Degree,20,908,5230,53.9,29.02,USA,67.75,16.594406532727106
Futures trader,Finance,Decreasing,Low,65680.54,Master’s Degree,3,4224,8820,10.11,85.45,Canada,49.52,42.61324512787027
"Teacher, English as a foreign language",Manufacturing,Decreasing,Moderate,68860.07,Associate Degree,5,1268,4689,85.42,0.96,Brazil,45.28,67.92348492386508
Occupational therapist,IT,Decreasing,High,73136.88,High School,14,4424,2717,0.5,31.59,Germany,31.24,84.45763086995224
Chief Marketing Officer,Education,Increasing,Low,41908.92,PhD,7,4748,4606,48.77,69.33,Germany,69.85,9.207791146857007
Geophysical data processor,Transportation,Decreasing,Moderate,139500.27,PhD,3,9702,8480,9.99,7.32,Brazil,63.4,50.76463194894358
"Nurse, learning disability",IT,Decreasing,High,62613.61,PhD,17,243,6694,77.06,88.97,UK,32.52,40.84604997309742
"Psychologist, occupational",Entertainment,Decreasing,Low,120206.9,Associate Degree,15,9481,2028,19.19,20.33,Australia,39.56,49.592370431005385
Dentist,Entertainment,Decreasing,Low,115182.65,Master’s Degree,14,2856,9310,6.38,14.4,Germany,53.54,39.58712316460086
Garment/textile technologist,Manufacturing,Increasing,Low,81958.04,Bachelor’s Degree,20,4340,5232,98.37,46.01,India,61.1,28.472004769185997
Editorial assistant,Education,Decreasing,Low,71644.15,High School,4,3045,1378,81.55,3.23,China,25.9,44.34493339740435
"Psychologist, forensic",IT,Decreasing,Low,65452.56,Bachelor’s Degree,6,4803,5188,54.95,27.81,China,47.25,36.061196491208364
Animal nutritionist,Healthcare,Increasing,High,120403.35,Associate Degree,10,1909,4486,6.5,3.78,China,46.43,65.73801533432157
Information officer,Entertainment,Decreasing,High,63922.67,Associate Degree,8,3749,3871,23.78,45.19,India,27.49,66.52850011666969
Chiropractor,Retail,Increasing,High,39063.23,Master’s Degree,16,7619,171,25.96,4.57,Germany,29.78,57.877608661338634
"Journalist, magazine",Transportation,Decreasing,Low,87747.13,Master’s Degree,5,5541,8177,11.37,59.36,China,28.0,47.89687965785644
Armed forces operational officer,Retail,Decreasing,High,32711.55,PhD,2,4236,7478,33.88,32.53,UK,72.52,62.67339312838367
Advertising copywriter,Transportation,Increasing,Moderate,116905.6,PhD,2,2185,4567,15.69,49.96,Canada,60.74,38.10412159988857
IT sales professional,Education,Increasing,Low,131535.74,PhD,14,9371,5079,37.31,9.83,Australia,24.34,9.545720393501588
Corporate investment banker,Healthcare,Increasing,Moderate,56050.88,Master’s Degree,12,9185,7504,15.08,44.12,USA,49.53,28.48643907711459
Transport planner,Finance,Increasing,Moderate,43050.93,PhD,4,3427,8781,12.68,55.56,Germany,72.34,34.640168807586726
Optometrist,Healthcare,Increasing,Moderate,89305.37,Associate Degree,0,1614,9361,88.12,67.51,UK,45.37,38.79358266938311
Financial planner,Manufacturing,Increasing,Low,133185.53,PhD,13,6299,4010,49.82,92.83,UK,42.36,27.23863787339491
"Conservator, museum/gallery",Healthcare,Increasing,Moderate,51527.99,Master’s Degree,20,7946,6972,77.38,99.61,UK,70.92,27.817992440801305
"Nurse, learning disability",Finance,Increasing,Low,74684.0,High School,9,271,7737,0.85,10.04,China,24.38,46.62482115839878
Public affairs consultant,IT,Increasing,Moderate,73645.29,Master’s Degree,2,7217,9462,90.12,19.41,India,73.35,26.509369597542772
"Education officer, community",Retail,Increasing,Moderate,32140.99,High School,1,9634,8178,20.35,20.01,Germany,50.43,66.05533605059877
Legal secretary,Finance,Decreasing,Low,42449.41,Master’s Degree,10,4100,1600,37.96,42.63,Australia,74.87,37.02119427632456
Purchasing manager,Transportation,Decreasing,Moderate,66231.58,PhD,15,5653,1325,34.42,89.8,Canada,38.19,51.78130762762127
"Secretary, company",Education,Decreasing,Low,133084.2,PhD,14,9564,4801,29.58,28.42,China,73.46,27.844369780235855
Commercial/residential surveyor,Healthcare,Decreasing,Low,94934.48,Bachelor’s Degree,10,5678,7480,95.53,39.62,Australia,40.99,22.847636963258193
Chartered legal executive (England and Wales),Manufacturing,Decreasing,High,139024.13,High School,13,6436,1219,78.76,10.96,Brazil,25.5,86.69472817868542
Technical brewer,Entertainment,Increasing,Moderate,37612.64,PhD,13,8669,1245,35.16,2.15,Canada,41.47,23.34800079881493
Medical physicist,Retail,Increasing,Moderate,83524.45,Master’s Degree,19,8799,9420,17.1,37.49,Brazil,22.31,46.510481736003214
"Psychologist, educational",Healthcare,Increasing,Low,75665.84,High School,1,6975,2558,63.71,78.49,UK,49.24,33.59857960819349
Charity officer,Healthcare,Increasing,High,37239.94,Bachelor’s Degree,6,4187,271,41.98,8.25,India,31.71,44.496503225015026
Research scientist (maths),Healthcare,Decreasing,Low,118504.98,High School,18,4417,368,45.23,3.38,Brazil,35.59,52.569809495020976
Tax inspector,Entertainment,Decreasing,Moderate,32369.54,Bachelor’s Degree,3,8426,6771,57.42,4.84,India,31.13,39.80099092264747
Sales executive,Education,Decreasing,Low,144257.7,PhD,4,6096,4151,54.2,10.86,China,74.59,22.86353526429159
Minerals surveyor,IT,Decreasing,Moderate,121536.96,High School,16,6213,1081,34.91,5.01,USA,50.23,64.0205890784104
Database administrator,IT,Increasing,Moderate,117924.89,High School,16,3212,6242,33.65,85.71,Australia,52.53,44.80961286793686
"Surveyor, quantity",Manufacturing,Increasing,High,123017.67,PhD,1,2378,6460,79.2,41.47,Germany,26.5,45.43685702392543
Management consultant,IT,Increasing,High,68891.87,High School,3,9585,1503,61.87,90.19,India,37.78,52.963037183293714
Solicitor,Entertainment,Decreasing,Low,115281.07,Master’s Degree,12,8567,8361,29.52,13.8,India,56.75,36.69881119804092
Primary school teacher,Transportation,Decreasing,Low,121615.39,Associate Degree,19,4887,8294,9.86,40.64,Germany,76.15,58.6570510902816
